host	config	arm	seed	command
strong	c2	armB	29	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armB.yaml --seed 29 --output results/tier1b/sweep
strong	c3	armA	0	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armA.yaml --seed 0 --output results/tier1b/sweep
strong	c3	armA	5	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armA.yaml --seed 5 --output results/tier1b/sweep
strong	c3	armA	6	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armA.yaml --seed 6 --output results/tier1b/sweep
strong	c3	armA	11	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armA.yaml --seed 11 --output results/tier1b/sweep
strong	c3	armA	12	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armA.yaml --seed 12 --output results/tier1b/sweep
strong	c3	armA	13	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armA.yaml --seed 13 --output results/tier1b/sweep
strong	c3	armA	18	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armA.yaml --seed 18 --output results/tier1b/sweep
strong	c3	armA	19	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armA.yaml --seed 19 --output results/tier1b/sweep
strong	c3	armA	20	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armA.yaml --seed 20 --output results/tier1b/sweep
strong	c3	armA	25	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armA.yaml --seed 25 --output results/tier1b/sweep
strong	c3	armA	26	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armA.yaml --seed 26 --output results/tier1b/sweep
strong	c3	armB	1	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armB.yaml --seed 1 --output results/tier1b/sweep
strong	c3	armB	2	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armB.yaml --seed 2 --output results/tier1b/sweep
strong	c3	armB	3	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armB.yaml --seed 3 --output results/tier1b/sweep
strong	c3	armB	8	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armB.yaml --seed 8 --output results/tier1b/sweep
strong	c3	armB	9	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armB.yaml --seed 9 --output results/tier1b/sweep
strong	c3	armB	10	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armB.yaml --seed 10 --output results/tier1b/sweep
strong	c3	armB	15	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armB.yaml --seed 15 --output results/tier1b/sweep
strong	c3	armB	16	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armB.yaml --seed 16 --output results/tier1b/sweep
strong	c3	armB	21	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armB.yaml --seed 21 --output results/tier1b/sweep
strong	c3	armB	22	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armB.yaml --seed 22 --output results/tier1b/sweep
strong	c3	armB	23	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armB.yaml --seed 23 --output results/tier1b/sweep
strong	c3	armB	28	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armB.yaml --seed 28 --output results/tier1b/sweep
strong	c3	armB	29	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c3_armB.yaml --seed 29 --output results/tier1b/sweep
strong	c4	armA	0	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c4_armA.yaml --seed 0 --output results/tier1b/sweep
strong	c4	armA	5	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c4_armA.yaml --seed 5 --output results/tier1b/sweep
strong	c4	armA	6	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c4_armA.yaml --seed 6 --output results/tier1b/sweep
strong	c4	armB	1	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c4_armB.yaml --seed 1 --output results/tier1b/sweep
strong	c4	armB	2	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c4_armB.yaml --seed 2 --output results/tier1b/sweep
strong	c4	armB	3	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c4_armB.yaml --seed 3 --output results/tier1b/sweep
strong	c4	armB	8	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c4_armB.yaml --seed 8 --output results/tier1b/sweep
strong	c4	armB	9	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c4_armB.yaml --seed 9 --output results/tier1b/sweep
strong	c5	armA	0	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c5_armA.yaml --seed 0 --output results/tier1b/sweep
strong	c5	armA	5	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c5_armA.yaml --seed 5 --output results/tier1b/sweep
strong	c5	armA	6	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c5_armA.yaml --seed 6 --output results/tier1b/sweep
strong	c5	armB	1	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c5_armB.yaml --seed 1 --output results/tier1b/sweep
strong	c5	armB	2	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c5_armB.yaml --seed 2 --output results/tier1b/sweep
strong	c5	armB	3	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c5_armB.yaml --seed 3 --output results/tier1b/sweep
strong	c5	armB	8	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c5_armB.yaml --seed 8 --output results/tier1b/sweep
strong	c5	armB	9	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c5_armB.yaml --seed 9 --output results/tier1b/sweep
strong	c6	armA	0	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armA.yaml --seed 0 --output results/tier1b/sweep
strong	c6	armA	5	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armA.yaml --seed 5 --output results/tier1b/sweep
strong	c6	armA	6	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armA.yaml --seed 6 --output results/tier1b/sweep
strong	c6	armA	11	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armA.yaml --seed 11 --output results/tier1b/sweep
strong	c6	armA	12	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armA.yaml --seed 12 --output results/tier1b/sweep
strong	c6	armA	13	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armA.yaml --seed 13 --output results/tier1b/sweep
strong	c6	armA	18	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armA.yaml --seed 18 --output results/tier1b/sweep
strong	c6	armA	19	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armA.yaml --seed 19 --output results/tier1b/sweep
strong	c6	armA	20	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armA.yaml --seed 20 --output results/tier1b/sweep
strong	c6	armA	25	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armA.yaml --seed 25 --output results/tier1b/sweep
strong	c6	armA	26	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armA.yaml --seed 26 --output results/tier1b/sweep
strong	c6	armB	1	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armB.yaml --seed 1 --output results/tier1b/sweep
strong	c6	armB	2	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armB.yaml --seed 2 --output results/tier1b/sweep
strong	c6	armB	3	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armB.yaml --seed 3 --output results/tier1b/sweep
strong	c6	armB	8	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armB.yaml --seed 8 --output results/tier1b/sweep
strong	c6	armB	9	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armB.yaml --seed 9 --output results/tier1b/sweep
strong	c6	armB	10	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armB.yaml --seed 10 --output results/tier1b/sweep
strong	c6	armB	15	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armB.yaml --seed 15 --output results/tier1b/sweep
strong	c6	armB	16	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armB.yaml --seed 16 --output results/tier1b/sweep
strong	c6	armB	21	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armB.yaml --seed 21 --output results/tier1b/sweep
strong	c6	armB	22	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armB.yaml --seed 22 --output results/tier1b/sweep
strong	c6	armB	23	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armB.yaml --seed 23 --output results/tier1b/sweep
strong	c6	armB	28	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armB.yaml --seed 28 --output results/tier1b/sweep
strong	c6	armB	29	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c6_armB.yaml --seed 29 --output results/tier1b/sweep
strong	c7	armA	0	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armA.yaml --seed 0 --output results/tier1b/sweep
strong	c7	armA	5	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armA.yaml --seed 5 --output results/tier1b/sweep
strong	c7	armA	6	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armA.yaml --seed 6 --output results/tier1b/sweep
strong	c7	armA	11	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armA.yaml --seed 11 --output results/tier1b/sweep
strong	c7	armA	12	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armA.yaml --seed 12 --output results/tier1b/sweep
strong	c7	armA	13	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armA.yaml --seed 13 --output results/tier1b/sweep
strong	c7	armA	18	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armA.yaml --seed 18 --output results/tier1b/sweep
strong	c7	armA	19	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armA.yaml --seed 19 --output results/tier1b/sweep
strong	c7	armA	20	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armA.yaml --seed 20 --output results/tier1b/sweep
strong	c7	armA	25	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armA.yaml --seed 25 --output results/tier1b/sweep
strong	c7	armA	26	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armA.yaml --seed 26 --output results/tier1b/sweep
strong	c7	armB	1	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armB.yaml --seed 1 --output results/tier1b/sweep
strong	c7	armB	2	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armB.yaml --seed 2 --output results/tier1b/sweep
strong	c7	armB	3	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armB.yaml --seed 3 --output results/tier1b/sweep
strong	c7	armB	8	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armB.yaml --seed 8 --output results/tier1b/sweep
strong	c7	armB	9	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armB.yaml --seed 9 --output results/tier1b/sweep
strong	c7	armB	10	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armB.yaml --seed 10 --output results/tier1b/sweep
strong	c7	armB	15	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armB.yaml --seed 15 --output results/tier1b/sweep
strong	c7	armB	16	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armB.yaml --seed 16 --output results/tier1b/sweep
strong	c7	armB	21	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armB.yaml --seed 21 --output results/tier1b/sweep
strong	c7	armB	22	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armB.yaml --seed 22 --output results/tier1b/sweep
strong	c7	armB	23	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armB.yaml --seed 23 --output results/tier1b/sweep
strong	c7	armB	28	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armB.yaml --seed 28 --output results/tier1b/sweep
strong	c7	armB	29	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c7_armB.yaml --seed 29 --output results/tier1b/sweep
strong	c8	armA	0	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c8_armA.yaml --seed 0 --output results/tier1b/sweep
strong	c8	armA	5	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c8_armA.yaml --seed 5 --output results/tier1b/sweep
strong	c8	armA	6	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c8_armA.yaml --seed 6 --output results/tier1b/sweep
strong	c8	armA	11	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c8_armA.yaml --seed 11 --output results/tier1b/sweep
strong	c8	armA	12	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c8_armA.yaml --seed 12 --output results/tier1b/sweep
strong	c8	armA	13	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c8_armA.yaml --seed 13 --output results/tier1b/sweep
strong	c8	armA	18	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c8_armA.yaml --seed 18 --output results/tier1b/sweep
strong	c8	armA	19	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c8_armA.yaml --seed 19 --output results/tier1b/sweep
